timestamp,open,high,low,close,volume
1593954000000,225.61,225.61,224.58,224.85,22227.751
1593957600000,224.84,225.40,224.61,225.31,16533.588
1593961200000,225.31,226.28,224.81,224.95,32218.105
1593964800000,224.95,225.74,224.71,225.01,16354.277
1593968400000,225.01,225.55,224.88,225.16,6443.190
1593972000000,225.15,225.60,224.78,225.38,8052.644
1593975600000,225.37,225.87,225.09,225.20,7532.271
1593979200000,225.20,225.47,224.88,224.95,8173.965
1593982800000,224.95,227.23,223.26,226.21,79395.149
1593986400000,226.21,228.09,226.21,227.47,71205.299
1593990000000,227.47,228.33,226.99,227.61,33004.959
1593993600000,227.61,228.19,226.89,227.02,29258.854
1593997200000,227.02,228.15,227.01,228.11,19475.114
1594000800000,228.13,228.86,227.80,227.96,28102.021
1594004400000,227.97,228.18,227.45,227.87,15587.546
1594008000000,227.88,228.29,227.72,227.96,14890.023
1594011600000,227.96,229.07,227.88,228.95,31882.509
1594015200000,228.98,233.45,228.66,232.51,179587.717
1594018800000,232.51,234.67,232.08,232.83,107708.110
1594022400000,232.84,233.51,232.44,233.49,46129.069
1594026000000,233.52,234.06,232.55,233.96,31959.175
1594029600000,233.96,234.50,232.92,233.56,36528.564
1594033200000,233.57,235.98,233.37,235.67,70123.334
1594036800000,235.66,237.49,234.51,237.09,116664.998
1594040400000,237.04,237.41,236.24,236.74,62958.328
1594044000000,236.74,237.04,235.30,236.04,45700.570
1594047600000,236.04,238.92,235.38,238.76,100286.293
1594051200000,238.76,240.89,238.02,239.44,142100.122
1594054800000,239.47,239.99,238.72,239.60,37090.355
1594058400000,239.60,240.00,238.57,238.92,28413.369
1594062000000,238.93,238.99,238.01,238.43,25360.371
1594065600000,238.44,238.84,237.35,238.33,43851.380
1594069200000,238.32,240.07,238.26,238.78,24974.081
1594072800000,238.79,239.64,238.27,239.46,38508.393
1594076400000,239.46,242.32,239.20,241.63,84654.586
1594080000000,241.66,243.90,241.15,241.37,81681.055
1594083600000,241.37,241.49,238.60,239.68,62958.263
1594087200000,239.67,239.68,237.84,239.32,52311.446
1594090800000,239.33,240.42,239.10,239.22,38176.317
1594094400000,239.22,239.60,238.55,238.71,20410.688
1594098000000,238.70,239.48,238.20,239.03,30463.248
1594101600000,239.03,239.14,235.83,237.27,86490.429
1594105200000,237.27,237.28,235.87,237.13,41790.752
1594108800000,237.12,237.80,236.62,237.44,26806.709
1594112400000,237.45,237.45,234.44,235.21,71134.765
1594116000000,235.21,236.89,234.92,236.59,41190.084
1594119600000,236.58,238.07,235.96,237.58,41864.015
1594123200000,237.59,238.20,236.84,237.67,33126.481
1594126800000,237.68,237.82,236.50,237.41,29351.433
1594130400000,237.41,239.76,236.71,237.21,87078.613
1594134000000,237.20,238.93,237.00,238.83,36851.197
1594137600000,238.83,239.74,237.95,238.40,45800.628
1594141200000,238.39,240.32,238.21,239.87,31513.201
1594144800000,239.88,239.97,238.20,238.88,26379.784
1594148400000,238.87,238.95,237.66,238.00,22582.058
1594152000000,238.00,238.59,236.45,238.52,44965.009
1594155600000,238.53,238.82,237.04,238.04,23210.840
1594159200000,238.04,238.95,237.79,238.91,16764.802
1594162800000,238.91,239.90,238.37,239.45,31174.209
1594166400000,239.45,239.71,237.75,238.53,37808.278
1594170000000,238.52,240.30,238.51,240.20,40387.574
1594173600000,240.21,242.42,240.21,241.55,85463.792
1594177200000,241.55,242.27,240.75,241.92,46984.325
